"Name","CompanyName"
"Akamai.METS","stuart-macleod-akamai,skearney"
"Akamai.MOKS","stuart-macleod-akamai,skearney"
"Akamai.Netstorage","stuart-macleod-akamai,skearney"
"Akamai.NetworkLists","stuart-macleod-akamai,skearney"
"Akamai.Property","stuart-macleod-akamai,skearney"
"Akamai.Purge","stuart-macleod-akamai,skearney"
"Akamai.Reporting","stuart-macleod-akamai,skearney"
"Akamai.SIEM","stuart-macleod-akamai,skearney"
"Akamai.Siteshield","stuart-macleod-akamai,skearney"
"Akamai.SLA","stuart-macleod-akamai,skearney"
"Akamai.TestCenter","stuart-macleod-akamai,skearney"
"AkamaiPowershell","stuartio"
"aks","vimalsingh"
"AksGMSA","taylorbrown,vrapolinario"
"AksHci","nwoodmsft,madhanrajm,pgayam,rohitjaini"
"AksHciNcCompanion","MSFT_KBisnett"
"ALCompiler","rasmusedberg"
"AleroPS","AXPP"
"AlfrescoCmdlets","CData"
"Algorand","geoffodonnell"
"ALH","diko"
"alias-tips","codyduong"
"aliens","trevor"
"AliModule","snegr1880"
"ALLanguageTools","sindre"
"AllMyIT","Kob"
"AlloyDBCmdlets","CData"
"allspice","Chirishman"
"ALOps.BCOpenAPI","HodorNV"
"alops.core","HodorNV"
"ALOps.ExternalDeployer","HodorNV"
"Alt3.Docusaurus.Powershell","alt3"
"Altazion","simplement-e"
"Altazion.Shell","simplement-e"
"ALTools","mczerniawski"
"AlwaysOnTop","psdevuk"
"ALZ","jtracey93,ganepomu,oZakari,jaredfholgate,matt-ffffff"
"AMA.ALZ","yeddlapurishivasai"
"AMAG-SMSPowershell","joshn-whatcomtrans.net"
"AmazonAthenaCmdlets","CData"
"AmazonDynamoDBCmdlets","CData"
"AmazonMarketplaceCmdlets","CData"
"AmazonS3Cmdlets","CData"
"AMCScriptLogging","PowerShellArmy"
"americkstest","alerickson"
"AmoebaML","Romero126"
"AMONotifications","AMO"
"AMPowerShellTemplate","FlemmingRohde"
"amps","amervitz"
"AMSI","adamdriscoll"
"AMSoftware.Crm","AMSoftware"
"AMSoftware.Dataverse.PowerShell","AMSoftware"
"Anafora.PowerShell","Wiktoryn"
"Anafora.Shell.PowerShell","Wiktoryn"
"AnaforaShell","Wiktoryn"
"Analyth.PowerShell","Analyth"
"AnamTestCmdlet","anamnavi,vthiebaut"
"AnamVersionMod","anamnavi"
"Anderson.MS365.SecAudit","andersonmatters"
"ANeT-API","janku"
"AngleParse","kamome283"
"anh2","thuctinh7761"
"anhd11","thuctinh7761"
"AnonUpload","SimeonOnSecurity"
"AnonymBsContainer","PJezour"
"AnsibleTower","gpduck"
"AnsibleVault","jborean93"
"AnsiColorOut","bozho"
"AntivirusProductsDetailedStatus","chixus"
"anvm","appveyor"
"ANWS","jromanello"
"AnyBox","fresh2dev"
"AnyPackage","ThomasNieto"
"AnyPackage.Appx","ThomasNieto"
"AnyPackage.Apt","ThomasNieto"
"AnyPackage.Chocolatey","ThomasNieto,ethanbergstrom"
"AnyPackage.Docker","ThomasNieto"
"AnyPackage.DotNet.Tool","ThomasNieto"
"AnyPackage.Homebrew","ThomasNieto,ethanbergstrom"
"AnyPackage.ModuleFast","ThomasNieto"
"AnyPackage.Msi","ThomasNieto"
"AnyPackage.Msu","ThomasNieto"
"AnyPackage.Npm","ThomasNieto"
"AnyPackage.NuGet","ThomasNieto"
"AnyPackage.Pkgx","ThomasNieto"
"AnyPackage.Programs","ThomasNieto"
